code;problem_1;problem_2;problem_3;problem_4;problems
P0035 ;Turbo Charger Bypass Valve Control Circuit High;;;;Turbo Charger Bypass Valve Control Circuit High___
;;;;;___
P0036 ;HO2S Heater Control Circuit (Bank 1 Sensor 2);;;;HO2S Heater Control Circuit (Bank 1 Sensor 2)___
;;;;;___
P0037 ;HO2S Heater Control Circuit Low (Bank 1 Sensor 2);;;;HO2S Heater Control Circuit Low (Bank 1 Sensor 2)___
;;;;;___
P0038 ;HO2S Heater Control Circuit High (Bank 1 Sensor 2);;;;HO2S Heater Control Circuit High (Bank 1 Sensor 2)___
;;;;;___
P0039 ;Turbo/Super Charger Bypass Valve Control Circuit Range/Performance;;;;Turbo/Super Charger Bypass Valve Control Circuit Range/Performance___
;;;;;___
P003A ;"Turbocharger/Supercharger Boost Control ""A"" Position Exceeded Learning Limit";;;;"Turbocharger/Supercharger Boost Control ""A"" Position Exceeded Learning Limit___"
;;;;;___
P003B ;"Turbocharger/Supercharger Boost Control ""B"" Position Exceeded Learning Limit";;;;"Turbocharger/Supercharger Boost Control ""B"" Position Exceeded Learning Limit___"
;;;;;___
P003C ;A Camshaft Profile Control Performance/Stuck Off Bank 1;;;;A Camshaft Profile Control Performance/Stuck Off Bank 1___
;;;;;___
P003D ;A Camshaft Profile Control Stuck On Bank 1;;;;A Camshaft Profile Control Stuck On Bank 1___
;;;;;___
P003E ;A Camshaft Profile Control Performance/Stuck Off Bank 2;;;;A Camshaft Profile Control Performance/Stuck Off Bank 2___
;;;;;___
P003F ;A Camshaft Profile Control Stuck On Bank 2;;;;A Camshaft Profile Control Stuck On Bank 2___
;;;;;___
P0040 ;Upstream Oxygen Sensors Swapped From Bank To Bank;;;;Upstream Oxygen Sensors Swapped From Bank To Bank___
;;;;;___
P0041 ;Downstream Oxygen Sensors Swapped From Bank To Bank;;;;Downstream Oxygen Sensors Swapped From Bank To Bank___
;;;;;___
P0042 ;HO2S Heater Control Circuit (Bank 1 Sensor 3);;;;HO2S Heater Control Circuit (Bank 1 Sensor 3)___
;;;;;___
P0043 ;HO2S Heater Control Circuit Low (Bank 1 Sensor 3);;;;HO2S Heater Control Circuit Low (Bank 1 Sensor 3)___
;;;;;___
P0044 ;HO2S Heater Control Circuit High (Bank 1 Sensor 3);;;;HO2S Heater Control Circuit High (Bank 1 Sensor 3)___
;;;;;___
P0045 ;"Turbocharger/Supercharger Boost Control ""A"" Circuit/Open";;;;"Turbocharger/Supercharger Boost Control ""A"" Circuit/Open___"
;;;;;___
P0046 ;"Turbocharger/Supercharger Boost Control ""A"" Circuit Range/Performance";;;;"Turbocharger/Supercharger Boost Control ""A"" Circuit Range/Performance___"
;;;;;___
P0047 ;"Turbocharger/Supercharger Boost Control ""A"" Circuit Low";;;;"Turbocharger/Supercharger Boost Control ""A"" Circuit Low___"
;;;;;___
P0048 ;"Turbocharger/Supercharger Boost Control ""A"" Circuit High";;;;"Turbocharger/Supercharger Boost Control ""A"" Circuit High___"
;;;;;___
P0049 ;Turbocharger/Supercharger Turbine Overspeed;;;;Turbocharger/Supercharger Turbine Overspeed___
;;;;;___
P004A ;"Turbocharger/Supercharger Boost Control ""B"" Circuit/Open";;;;"Turbocharger/Supercharger Boost Control ""B"" Circuit/Open___"
;;;;;___
P004B ;"Turbocharger/Supercharger Boost Control ""B"" Circuit Range/Performance";;;;"Turbocharger/Supercharger Boost Control ""B"" Circuit Range/Performance___"
;;;;;___
P004C ;"Turbocharger/Supercharger Boost Control ""B"" Circuit Low";;;;"Turbocharger/Supercharger Boost Control ""B"" Circuit Low___"
;;;;;___
P004D ;"Turbocharger/Supercharger Boost Control ""B"" Circuit High";;;;"Turbocharger/Supercharger Boost Control ""B"" Circuit High___"
;;;;;___
P004E ;"Turbocharger/Supercharger Boost Control ""A"" Circuit Intermittent/Erratic";;;;"Turbocharger/Supercharger Boost Control ""A"" Circuit Intermittent/Erratic___"
;;;;;___
P004F ;"Turbocharger/Supercharger Boost Control ""B"" Circuit Intermittent/Erratic";;;;"Turbocharger/Supercharger Boost Control ""B"" Circuit Intermittent/Erratic___"
;;;;;___
P0050 ;HO2S Heater Control Circuit (Bank 2 Sensor 1);;;;HO2S Heater Control Circuit (Bank 2 Sensor 1)___
;;;;;___
P0051 ;HO2S Heater Control Circuit Low (Bank 2 Sensor 1);;;;HO2S Heater Control Circuit Low (Bank 2 Sensor 1)___
;;;;;___
P0052 ;HO2S Heater Control Circuit High (Bank 2 Sensor 1);;;;HO2S Heater Control Circuit High (Bank 2 Sensor 1)___
;;;;;___
P0053 ;HO2S Heater Resistance (Bank 1, Sensor 1);;;;HO2S Heater Resistance (Bank 1, Sensor 1)___
;;;;;___
P0054 ;HO2S Heater Resistance (Bank 1, Sensor 2);;;;HO2S Heater Resistance (Bank 1, Sensor 2)___
;;;;;___
P0055 ;HO2S Heater Resistance (Bank 1, Sensor 3);;;;HO2S Heater Resistance (Bank 1, Sensor 3)___
;;;;;___
P0056 ;HO2S Heater Control Circuit (Bank 2 Sensor 2);;;;HO2S Heater Control Circuit (Bank 2 Sensor 2)___
;;;;;___
P0057 ;HO2S Heater Control Circuit Low (Bank 2 Sensor 2);;;;HO2S Heater Control Circuit Low (Bank 2 Sensor 2)___
;;;;;___
P0058 ;HO2S Heater Control Circuit High (Bank 2 Sensor 2);;;;HO2S Heater Control Circuit High (Bank 2 Sensor 2)___
;;;;;___
P0059 ;HO2S Heater Resistance (Bank 2 Sensor 1);;;;HO2S Heater Resistance (Bank 2 Sensor 1)___
;;;;;___
P005A ;B Camshaft Profile Control Performance/Stuck Off Bank 1;;;;B Camshaft Profile Control Performance/Stuck Off Bank 1___
;;;;;___
P005B ;B Camshaft Profile Control Stuck On Bank 1;;;;B Camshaft Profile Control Stuck On Bank 1___
;;;;;___
P005C ;B Camshaft Profile Control Performance/Stuck Off Bank 2;;;;B Camshaft Profile Control Performance/Stuck Off Bank 2___
;;;;;___
P005D ;B Camshaft Profile Control Stuck On Bank 2;;;;B Camshaft Profile Control Stuck On Bank 2___
;;;;;___
P005E ;"Turbocharger/Supercharger Boost Control ""B"" Supply Voltage Circuit Low";;;;"Turbocharger/Supercharger Boost Control ""B"" Supply Voltage Circuit Low___"
;;;;;___
P005F ;"Turbocharger/Supercharger Boost Control ""B"" Supply Voltage Circuit High";;;;"Turbocharger/Supercharger Boost Control ""B"" Supply Voltage Circuit High___"
;;;;;___
P0060 ;HO2S Heater Resistance (Bank 2, Sensor 2);;;;HO2S Heater Resistance (Bank 2, Sensor 2)___
;;;;;___
P0061 ;HO2S Heater Resistance (Bank 2, Sensor 3);;;;HO2S Heater Resistance (Bank 2, Sensor 3)___
;;;;;___
P0062 ;HO2S Heater Control Circuit (Bank 2 Sensor 3);;;;HO2S Heater Control Circuit (Bank 2 Sensor 3)___
;;;;;___
P0063 ;HO2S Heater Control Circuit Low (Bank 2 Sensor 3);;;;HO2S Heater Control Circuit Low (Bank 2 Sensor 3)___
;;;;;___
P0064 ;HO2S Heater Control Circuit High (Bank 2 Sensor 3);;;;HO2S Heater Control Circuit High (Bank 2 Sensor 3)___
;;;;;___
P0065 ;Air Assisted Injector Control Range/Performance;;;;Air Assisted Injector Control Range/Performance___
;;;;;___
P0066 ;Air Assisted Injector Control Circuit or Circuit Low;;;;Air Assisted Injector Control Circuit or Circuit Low___
;;;;;___
P0067 ;Air Assisted Injector Control Circuit High;;;;Air Assisted Injector Control Circuit High___
;;;;;___
P0068 ;MAP/MAF ;Throttle Position Correlation;;;MAP/MAF _Throttle Position Correlation__
;;;;;___
P0069 ;Manifold Absolute Pressure ;Barometric Pressure Correlation;;;Manifold Absolute Pressure _Barometric Pressure Correlation__
;;;;;___
P006A ;MAP ;Mass or Volume Air Flow Correlation Bank 1;;;MAP _Mass or Volume Air Flow Correlation Bank 1__
;;;;;___
P006B ;MAP ;Exhaust Pressure Correlation;;;MAP _Exhaust Pressure Correlation__
;;;;;___
P006C ;MAP ;Turbocharger/Supercharger Inlet Pressure Correlation;;;MAP _Turbocharger/Supercharger Inlet Pressure Correlation__
;;;;;___
P006D ;Barometric Pressure ;Turbocharger/Supercharger Inlet Pressure Correlation;;;Barometric Pressure _Turbocharger/Supercharger Inlet Pressure Correlation__
;;;;;___
P006E ;"Turbocharger/Supercharger Boost Control ""A"" Supply Voltage Circuit Low";;;;"Turbocharger/Supercharger Boost Control ""A"" Supply Voltage Circuit Low___"
;;;;;___
P006F ;"Turbocharger/Supercharger Boost Control ""A"" Supply Voltage Circuit High";;;;"Turbocharger/Supercharger Boost Control ""A"" Supply Voltage Circuit High___"
;;;;;___
P0070 ;Ambient Air Temperature Sensor Circuit;;;;Ambient Air Temperature Sensor Circuit___
;;;;;___
P0071 ;Ambient Air Temperature Sensor Range/Performance;;;;Ambient Air Temperature Sensor Range/Performance___
;;;;;___
P0072 ;Ambient Air Temperature Sensor Circuit Low Input;;;;Ambient Air Temperature Sensor Circuit Low Input___
;;;;;___
P0073 ;Ambient Air Temperature Sensor Circuit High Input;;;;Ambient Air Temperature Sensor Circuit High Input___
;;;;;___
P0074 ;Ambient Air Temperature Sensor Circuit Intermittent;;;;Ambient Air Temperature Sensor Circuit Intermittent___
;;;;;___
P0075 ;Intake Valve Control Solenoid Circuit (Bank 1);;;;Intake Valve Control Solenoid Circuit (Bank 1)___
;;;;;___
P0076 ;Intake Valve Control Solenoid Circuit Low (Bank 1);;;;Intake Valve Control Solenoid Circuit Low (Bank 1)___
;;;;;___
P0077 ;Intake Valve Control Solenoid Circuit High (Bank 1);;;;Intake Valve Control Solenoid Circuit High (Bank 1)___
;;;;;___
P0078 ;Exhaust Valve Control Solenoid Circuit (Bank 1);;;;Exhaust Valve Control Solenoid Circuit (Bank 1)___
;;;;;___
P0079 ;Exhaust Valve Control Solenoid Circuit Low (Bank 1);;;;Exhaust Valve Control Solenoid Circuit Low (Bank 1)___
;;;;;___
P007A ;Charge Air Cooler Temperature Sensor Circuit Bank 1;;;;Charge Air Cooler Temperature Sensor Circuit Bank 1___
;;;;;___
P007B ;Charge Air Cooler Temperature Sensor Circuit Range/Performance Bank 1;;;;Charge Air Cooler Temperature Sensor Circuit Range/Performance Bank 1___
;;;;;___
P007C ;Charge Air Cooler Temperature Sensor Circuit Low Bank 1;;;;Charge Air Cooler Temperature Sensor Circuit Low Bank 1___
;;;;;___
P007D ;Charge Air Cooler Temperature Sensor Circuit High Bank 1;;;;Charge Air Cooler Temperature Sensor Circuit High Bank 1___
;;;;;___
P007E ;Charge Air Cooler Temperature Sensor Circuit Intermittent/Erratic Bank 1;;;;Charge Air Cooler Temperature Sensor Circuit Intermittent/Erratic Bank 1___
;;;;;___
P007F ;Charge Air Cooler Temperature Sensor Bank1/Bank2 Correlation;;;;Charge Air Cooler Temperature Sensor Bank1/Bank2 Correlation___
;;;;;___
P0080 ;Exhaust Valve Control Solenoid Circuit High (Bank 1);;;;Exhaust Valve Control Solenoid Circuit High (Bank 1)___
;;;;;___
P0081 ;Intake valve Control Solenoid Circuit (Bank 2);;;;Intake valve Control Solenoid Circuit (Bank 2)___
;;;;;___
P0082 ;Intake Valve Control Solenoid Circuit Low (Bank 2);;;;Intake Valve Control Solenoid Circuit Low (Bank 2)___
;;;;;___
P0083 ;Intake Valve Control Solenoid Circuit High (Bank 2);;;;Intake Valve Control Solenoid Circuit High (Bank 2)___
;;;;;___
P0084 ;Exhaust Valve Control Solenoid Circuit (Bank 2);;;;Exhaust Valve Control Solenoid Circuit (Bank 2)___
;;;;;___
P0085 ;Exhaust Valve Control Solenoid Circuit Low (Bank 2);;;;Exhaust Valve Control Solenoid Circuit Low (Bank 2)___
;;;;;___
P0086 ;Exhaust Valve Control Solenoid Circuit High (Bank 2);;;;Exhaust Valve Control Solenoid Circuit High (Bank 2)___
;;;;;___
P0087 ;Fuel Rail/System Pressure ;Too Low;;;Fuel Rail/System Pressure _Too Low__
;;;;;___
P0088 ;Fuel Rail/System Pressure ;Too High;;;Fuel Rail/System Pressure _Too High__
;;;;;___
P0089 ;Fuel Pressure Regulator 1 Performance;;;;Fuel Pressure Regulator 1 Performance___
;;;;;___
P008A ;Low Pressure Fuel System Pressure ;Too Low;;;Low Pressure Fuel System Pressure _Too Low__
;;;;;___
P008B ;Low Pressure Fuel System Pressure ;Too High;;;Low Pressure Fuel System Pressure _Too High__
;;;;;___
P008C ;Fuel Cooler Pump Control Circuit Open;;;;Fuel Cooler Pump Control Circuit Open___
;;;;;___
P008D ;Fuel Cooler Pump Control Circuit Low;;;;Fuel Cooler Pump Control Circuit Low___
;;;;;___
P008E ;Fuel Cooler Pump Control Circuit High;;;;Fuel Cooler Pump Control Circuit High___
;;;;;___
P008F ;Engine Coolant Temperature/Fuel Temperature Correlation;;;;Engine Coolant Temperature/Fuel Temperature Correlation___
;;;;;___
P0090 ;Fuel Pressure Regulator 1 Control Circuit;;;;Fuel Pressure Regulator 1 Control Circuit___
;;;;;___
P0091 ;Fuel Pressure Regulator 1 Control Circuit Low;;;;Fuel Pressure Regulator 1 Control Circuit Low___
;;;;;___
P0092 ;Fuel Pressure Regulator 1 Control Circuit High;;;;Fuel Pressure Regulator 1 Control Circuit High___
;;;;;___
P0093 ;Fuel System Leak Detected ;Large Leak;;;Fuel System Leak Detected _Large Leak__
;;;;;___
P0094 ;Fuel System Small Leak Detected;;;;Fuel System Small Leak Detected___
;;;;;___
P0095 ;Intake Air Temperature Sensor 2 Circuit Bank 1;;;;Intake Air Temperature Sensor 2 Circuit Bank 1___
;;;;;___
P0096 ;Intake Air Temperature Sensor 2 Circuit Range/Performance Bank 1;;;;Intake Air Temperature Sensor 2 Circuit Range/Performance Bank 1___
;;;;;___
P0097 ;Intake Air Temperature Sensor 2 Circuit Low Bank 1;;;;Intake Air Temperature Sensor 2 Circuit Low Bank 1___
;;;;;___
P0098 ;Intake Air Temperature Sensor 2 Circuit High Bank 1;;;;Intake Air Temperature Sensor 2 Circuit High Bank 1___
;;;;;___
P0099 ;Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic Bank 1;;;;Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic Bank 1___
;;;;;___
P009A ;Intake Air Temperature/Ambient Air Temperature Correlation;;;;Intake Air Temperature/Ambient Air Temperature Correlation___
;;;;;___
P009B ;Fuel Pressure Relief Control Circuit/Open;;;;Fuel Pressure Relief Control Circuit/Open___
;;;;;___
P009C ;Fuel Pressure Relief Control Circuit Low;;;;Fuel Pressure Relief Control Circuit Low___
;;;;;___
P009D ;Fuel Pressure Relief Control Circuit High;;;;Fuel Pressure Relief Control Circuit High___
;;;;;___
P009E ;Fuel Pressure Relief Control Performance/Stuck Off;;;;Fuel Pressure Relief Control Performance/Stuck Off___
;;;;;___
P009F ;Fuel Pressure Relief Control Stuck On;;;;Fuel Pressure Relief Control Stuck On___
;;;;;___
P00A0 ;Charge Air Cooler Temperature Sensor Circuit Bank 2;;;;Charge Air Cooler Temperature Sensor Circuit Bank 2___
;;;;;___
P00A1 ;Charge Air Cooler Temperature Sensor Circuit Range/Performance Bank 2;;;;Charge Air Cooler Temperature Sensor Circuit Range/Performance Bank 2___
;;;;;___
P00A2 ;Charge Air Cooler Temperature Sensor Circuit Low Bank 2;;;;Charge Air Cooler Temperature Sensor Circuit Low Bank 2___
;;;;;___
P00A3 ;Charge Air Cooler Temperature Sensor Circuit High Bank 2;;;;Charge Air Cooler Temperature Sensor Circuit High Bank 2___
;;;;;___
P00A4 ;Charge Air Cooler Temperature Sensor Circuit Intermittent/Erratic Bank 2;;;;Charge Air Cooler Temperature Sensor Circuit Intermittent/Erratic Bank 2___
;;;;;___
P00A5 ;Intake Air Temperature Sensor 2 Circuit Bank 2;;;;Intake Air Temperature Sensor 2 Circuit Bank 2___
;;;;;___
P00A6 ;Intake Air Temperature Sensor 2 Circuit Range/Performance Bank 2;;;;Intake Air Temperature Sensor 2 Circuit Range/Performance Bank 2___
;;;;;___
P00A7 ;Intake Air Temperature Sensor 2 Circuit Low Bank 2;;;;Intake Air Temperature Sensor 2 Circuit Low Bank 2___
;;;;;___
P00A8 ;Intake Air Temperature Sensor 2 Circuit High Bank 2;;;;Intake Air Temperature Sensor 2 Circuit High Bank 2___
;;;;;___
P00A9 ;Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic Bank 2;;;;Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic Bank 2___
;;;;;___
P00AA ;Intake Air Temperature Sensor 1 Circuit Bank 2;;;;Intake Air Temperature Sensor 1 Circuit Bank 2___
;;;;;___
P00AB ;Intake Air Temperature Sensor 1 Circuit Range/Performance Bank 2;;;;Intake Air Temperature Sensor 1 Circuit Range/Performance Bank 2___
;;;;;___
P00AC ;Intake Air Temperature Sensor 1 Circuit Low Bank 2;;;;Intake Air Temperature Sensor 1 Circuit Low Bank 2___
;;;;;___
P00AD ;Intake Air Temperature Sensor 1 Circuit High Bank 2;;;;Intake Air Temperature Sensor 1 Circuit High Bank 2___
;;;;;___
P00AE ;Intake Air Temperature Sensor 1 Circuit Intermittent/Erratic Bank 2;;;;Intake Air Temperature Sensor 1 Circuit Intermittent/Erratic Bank 2___
;;;;;___
P00AF ;"Turbocharger/Supercharger Boost Control ""A"" Module Performance";;;;"Turbocharger/Supercharger Boost Control ""A"" Module Performance___"
;;;;;___
P00B0 ;"Turbocharger/Supercharger Boost Control ""B"" Module Performance";;;;"Turbocharger/Supercharger Boost Control ""B"" Module Performance___"
;;;;;___
P00B1 ;Radiator Coolant Temperature Sensor Circuit;;;;Radiator Coolant Temperature Sensor Circuit___
;;;;;___
P00B2 ;Radiator Coolant Temperature Sensor Circuit Range/Performance;;;;Radiator Coolant Temperature Sensor Circuit Range/Performance___
;;;;;___
P00B3 ;Radiator Coolant Temperature Sensor Circuit Low;;;;Radiator Coolant Temperature Sensor Circuit Low___
;;;;;___
P00B4 ;Radiator Coolant Temperature Sensor Circuit High;;;;Radiator Coolant Temperature Sensor Circuit High___
;;;;;___
P00B5 ;Radiator Coolant Temperature Sensor Circuit Intermittent/Erratic;;;;Radiator Coolant Temperature Sensor Circuit Intermittent/Erratic___
;;;;;___
P00B6 ;Radiator Coolant Temperature/Engine Coolant Temperature Correlation;;;;Radiator Coolant Temperature/Engine Coolant Temperature Correlation___
;;;;;___
P00B7 ;Engine Coolant Flow Low/Performance;;;;Engine Coolant Flow Low/Performance___
;;;;;___
P00B8 ;MAP ;Mass or Volume Air Flow Correlation Bank 2;;;MAP _Mass or Volume Air Flow Correlation Bank 2__
;;;;;___
P00B9 ;Low Pressure Fuel System Pressure ;Too Low, Low Ambient Temperature;;;Low Pressure Fuel System Pressure _Too Low, Low Ambient Temperature__
;;;;;___
P00BA ;Low Fuel Pressure ;Forced Limited Power;;;Low Fuel Pressure _Forced Limited Power__
;;;;;___
P00BB ;Fuel Injector Insufficient Flow ;Forced Limited Power;;;Fuel Injector Insufficient Flow _Forced Limited Power__
;;;;;___
P00BC ;"Mass or Volume Air Flow ""A"" Circuit Range/Performance ";Air Flow Too Low;;;"Mass or Volume Air Flow ""A"" Circuit Range/Performance _Air Flow Too Low__"
;;;;;___
P00BD ;"Mass or Volume Air Flow ""A"" Circuit Range/Performance ";Air Flow Too High;;;"Mass or Volume Air Flow ""A"" Circuit Range/Performance _Air Flow Too High__"
;;;;;___
P00BE ;"Mass or Volume Air Flow ""B"" Circuit Range/Performance ";Air Flow Too Low;;;"Mass or Volume Air Flow ""B"" Circuit Range/Performance _Air Flow Too Low__"
;;;;;___
P00BF ;"Mass or Volume Air Flow ""B"" Circuit Range/Performance ";Air Flow Too High;;;"Mass or Volume Air Flow ""B"" Circuit Range/Performance _Air Flow Too High__"
P0100 through P0199;;;;;___
;;;;;___
P0100 ;"Mass or Volume Air Flow ""A"" Circuit Malfunction";;;;"Mass or Volume Air Flow ""A"" Circuit Malfunction___"
;;;;;___
P0101 ;"Mass or Volume Air Flow ""A"" Circuit Range/Performance Problem";;;;"Mass or Volume Air Flow ""A"" Circuit Range/Performance Problem___"
;;;;;___
P0102 ;"Mass or Volume Air Flow ""A"" Circuit Low Input";;;;"Mass or Volume Air Flow ""A"" Circuit Low Input___"
;;;;;___
P0103 ;"Mass or Volume Air Flow ""A"" Circuit High Input";;;;"Mass or Volume Air Flow ""A"" Circuit High Input___"
;;;;;___
P0104 ;"Mass or Volume Air Flow ""A"" Circuit Intermittent";;;;"Mass or Volume Air Flow ""A"" Circuit Intermittent___"
;;;;;___
P0105 ;Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction;;;;Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction___
;;;;;___
P0106 ;Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem;;;;Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem___
